date,state,tot_cases,new_case,tot_death,conf_death,new_death,total_vaccinations,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-13,OH,799639,6701,9881,8874.0,79,329318.0,329295.0,,2.82,,2.82,8.19,17428.0,1491.0,0.344
2021-02-22,WV,129854,238,2263,,2,465593.0,291272.0,9.73,25.98,174287.0,16.25,26.85,10783.0,6017.0,0.968
2021-03-06,AS,4,0,0,,0,21625.0,13386.0,14.74,38.83,8208.0,24.04,77.59,184.0,3304.0,0.5
2021-01-17,FL,1542567,10737,24137,,133,,,,,,,,76089.0,3543.0,
2021-03-06,HI,26984,81,441,,1,434343.0,269414.0,11.63,30.68,164636.0,19.03,42.24,9085.0,6417.0,0.726
2021-01-27,PR,92541,297,1801,1516.0,7,199762.0,156071.0,1.33,6.25,42437.0,4.89,15.86,9019.0,2824.0,0.39399999999999996
2021-02-15,OH,941265,1915,16394,13945.0,48,,,,,,,,56733.0,4853.0,
2021-02-21,PR,99257,193,1983,1689.0,4,476475.0,320383.0,4.84,14.92,154598.0,10.03,25.26,13393.0,4194.0,0.591
2021-02-05,AS,3,0,0,,0,12029.0,9775.0,4.04,21.6,2252.0,17.55,52.88,301.0,5405.0,0.408
2021-02-27,PR,100297,253,2036,1733.0,4,538085.0,349018.0,5.87,16.85,187522.0,10.93,32.46,10651.0,3335.0,0.519
2021-02-20,FL,1829773,7129,29813,,121,4205898.0,2796210.0,6.44,19.58,1382923.0,13.02,23.84,122067.0,5683.0,0.821
2021-02-27,CO,427462,1264,5945,5211.0,5,1324715.0,876943.0,7.65,23.0,440500.0,15.23,29.53,22403.0,3890.0,0.779
2021-02-24,CO,423558,1168,5917,5185.0,10,1268302.0,847375.0,7.19,22.02,413803.0,14.71,26.27,34876.0,6056.0,0.838
2021-02-20,NY,891374,3542,17674,,52,3535997.0,2334012.0,5.74,18.18,1117514.0,12.0,21.41,102095.0,5248.0,0.8490000000000001
2021-01-26,WV,116978,1139,1928,,29,210492.0,167660.0,2.39,11.75,42821.0,9.36,15.53,8262.0,4610.0,0.7559999999999999
2021-03-09,PA,953136,2975,24396,,40,3524263.0,2401448.0,8.73,27.53,1117905.0,18.76,37.56,91116.0,7117.0,0.733
2021-02-01,IA,319814,567,4906,,5,257468.0,194009.0,1.91,8.16,60259.0,6.15,13.25,8752.0,2774.0,0.616
2021-03-11,CO,440220,955,6021,5288.0,18,1764066.0,1133732.0,11.12,30.63,640244.0,19.69,39.91,38451.0,6677.0,0.767
2021-01-21,IA,309600,1692,4445,,51,158743.0,139500.0,0.53,5.03,16860.0,4.42,10.41,6664.0,2112.0,0.483
2021-02-22,NM,183023,234,3635,,11,604732.0,399799.0,9.47,28.84,198486.0,19.07,28.9,24730.0,11794.0,0.998
2021-02-13,NY,867467,4182,17286,,59,2821335.0,1959193.0,4.0,14.5,778565.0,10.07,20.26,85146.0,4377.0,0.716
